CÓDIGO CIE;Código INEP;ESCOLA;DIRETORIA;MUNICÍPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MÉDIO
37624;35037624;CAFE FILHO PRESIDENTE                                       ;SUL 2;SAO PAULO;4,57;2,12;1,55
37631;35037631;JOCILA PEREIRA GUIMARAES PROFESSORA                         ;GUARULHOS SUL;GUARULHOS;5,72;;
37643;35037643;ANTONIO CARLOS FERREIRA NOBRE PROFESSOR                     ;NORTE 1;SAO PAULO;;3,73;
37655;35037655;UBALDO COSTA LEITE DOUTOR                                   ;NORTE 1;SAO PAULO;;1,85;1,14
37667;35037667;PAULO NOGUEIRA FILHO                                        ;NORTE 1;SAO PAULO;5,55;;
37679;35037679;EDGARD PIMENTEL REZENDE PROFESSOR                           ;NORTE 1;SAO PAULO;;2,41;1,61
37680;35037680;CRISPIM DE OLIVEIRA PROFESSOR                               ;NORTE 1;SAO PAULO;3,91;;
37692;35037692;ANA SIQUEIRA DA SILVA                                       ;NORTE 1;SAO PAULO;;2,72;2,16
37709;35037709;CARLOS FREDERICO WERNECK LACERDA JORNALISTA                 ;NORTE 1;SAO PAULO;;2,13;1,04
37710;35037710;MILTON DA SILVA RODRIGUES PROFESSOR                         ;NORTE 1;SAO PAULO;;;3,44
37722;35037722;CACILDA BECKER                                              ;NORTE 1;SAO PAULO;5,00;;
37734;35037734;ARLETE TEREZINHA PIZAO PROFA                                ;NORTE 2;SAO PAULO;4,91;;
37746;35037746;ORLANDO HORACIO VITA PROFESSOR                              ;CENTRO;SAO PAULO;6,06;;
37758;35037758;DAILY RESENDE FRANCA PROFESSOR                              ;CENTRO;SAO PAULO;6,34;;
37761;35037761;YOLANDO MALLOZZI                                            ;NORTE 2;SAO PAULO;5,12;;
37771;35037771;LUZIA GODOY PROFA                                           ;NORTE 2;SAO PAULO;6,82;;
37783;35037783;VERIDIANA CAMACHO CARVALHO GOMES PROFA                      ;NORTE 2;SAO PAULO;;2,37;1,88
37795;35037795;JUSTINO CARDOSO DR                                          ;NORTE 2;SAO PAULO;;3,38;2,45
37801;35037801;JOAQUIM GOUVEIA FRANCO JUNIOR DEPUTADO                      ;LESTE 5;SAO PAULO;5,60;;
37813;35037813;DIDIO DA SILVEIRA BALDY PROF                                ;LESTE 4;SAO PAULO;4,92;;
37837;35037837;LOURDES MARIA DE CAMARGO PROFESSORA                         ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;4,96;3,05;1,69
37849;35037849;JENI DAVI BACHA PROFESSORA                                  ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;4,54;3,24;3,11
37874;35037874;IGNACIO GIOIA MONSENHOR                                     ;TAUBATE;SAO LUIZ DO PARAITINGA;;;3,51
37898;35037898;FELIX GUISARD FILHO DOUTOR                                  ;TAUBATE;TAUBATE;;;2,14
37916;35037916;TEIXEIRA POMBO COMENDADOR                                   ;PINDAMONHANGABA;TREMEMBE;;;2,37
37928;35037928;SINESIA MARTINI PROFA                                       ;AMERICANA;AMERICANA;4,87;;
37936;35037936;IRENE DE ASSIS SAES PROFA                                   ;AMERICANA;SANTA BARBARA D'OESTE;;;
37941;35037941;CECILIA DE NEGRI PROFESSORA                                 ;SUMARE;SUMARE;4,87;;
37965;35037965;MARIO NATIVIDADE DOUTOR                                     ;CAMPINAS LESTE;CAMPINAS;;2,71;1,58
37977;35037977;HELIO NEHRING PROFESSOR                                     ;PIRACICABA;PIRACICABA;;2,58;2,20
37989;35037989;LUCIANO GUIDOTTI COMENDADOR                                 ;PIRACICABA;PIRACICABA;;3,49;1,99
38003;35038003;IRACEMA DE CASTRO AMARANTE PROFA                            ;BAURU;BAURU;4,63;2,77;
38027;35038027;ALVA FABRI MIRANDA PROFESSORA                               ;JAU;PEDERNEIRAS;;3,60;2,89
38039;35038039;JOAQUIM DO MARCO PROFESSOR                                  ;CENTRO SUL;SAO PAULO;4,86;;
38064;35038064;RUBENS PIETRAROIA                                           ;BAURU;LENCOIS PAULISTA;;3,25;2,45
38076;35038076;TEREZINHA MARIANO MAGNANI PROFESSORA                        ;OURINHOS;ESPIRITO SANTO DO TURVO;;3,39;3,22
38097;35038097;ITALO BETARELLO                                             ;NORTE 1;SAO PAULO;;4,59;3,83
38106;35038106;EDUARDO CARLOS PEREIRA                                      ;LESTE 5;SAO PAULO;6,18;;
38118;35038118;ALCEU GUERNER GONZALEZ PROF                                 ;LESTE 2;SAO PAULO;5,36;;
38124;35038124;MARIA AUGUSTA SARAIVA DOUTORA                               ;CENTRO;SAO PAULO;4,93;3,85;
38131;35038131;AUGUSTO DO AMARAL DEPUTADO                                  ;CENTRO OESTE;SAO PAULO;;3,83;1,68
38143;35038143;CAETANO DE CAMPOS                                           ;CENTRO SUL;SAO PAULO;;;
38155;35038155;RUBENS DO AMARAL DEPUTADO                                   ;CENTRO SUL;SAO PAULO;6,44;;
38167;35038167;JOSE MARIA WHITAKER DOUTOR                                  ;CENTRO SUL;SAO PAULO;;;2,14
38179;35038179;CARLOS PASQUALE PROFESSOR                                   ;CENTRO SUL;SAO PAULO;4,27;2,11;
38180;35038180;ARTHUR WOLFF NETTO PROFESSOR                                ;SUL 1;SAO PAULO;4,50;;
38209;35038209;MIGUEL ROQUE PROFESSOR                                      ;SUL 1;SAO PAULO;4,88;;
38210;35038210;SALVADOR MOYA                                               ;SUL 1;SAO PAULO;;2,00;1,67
38222;35038222;JOSE JOAQUIM CARDOSO DE MELLO NETO PROFESSOR                ;SUL 2;SAO PAULO;4,41;;
38234;35038234;VICENTE RAO PROFESSOR                                       ;SUL 1;SAO PAULO;;2,39;0,42
38246;35038246;EURICO GASPAR DUTRA MARECHAL                                ;SUL 2;SAO PAULO;6,42;;
38258;35038258;FRANCISCO DE PAULA CONCEICAO JUNIOR PROFESSOR               ;SUL 1;SAO PAULO;5,36;2,80;2,07
38261;35038261;ADRIAO BERNARDES PROF                                       ;SUL 3;SAO PAULO;3,09;2,49;1,80
