CODIGO CIE;CODIGO INEP;ESCOLA;DIRETORIA;MUNICIPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO
579476;35579476;SÓCRATES BRASILEIRO SAMPAIO DE SOUZA VIEIRA DE OLIVEIRA;NORTE 2;SAO PAULO;5.62;;
579889;35579889;MARIA HELENA SCANNAVINO;BARRETOS;BARRETOS;;;3.35
580065;35580065;PROFESSORA NELLY COLLEONE RAVAGNOLLI;JAU;BOCAINA;;2.70;2.71
580120;35580120;BAIRRO CASTELANI;CAPIVARI;CAPIVARI;;2.81;1.95
580824;35580824;JARDIM ALINE;SUMARE;HORTOLANDIA;;2.14;2.03
581124;35581124;JARDIM PAINEIRAS;LIMEIRA;LIMEIRA;;3.42;1.93
583467;35583467;CIDADE NOVA;JAU;PEDERNEIRAS;;2.80;1.96
585804;35585804;CIDADE ARACY IV;SAO CARLOS;SAO CARLOS;4.84;3.23;
900023;35900023;ALVARO FRAGA MOREIRA;JAU;JAU;;3.26;3.25
900035;35900035;DOMINGOS BAUER LEITE POETA;MIRACATU;MIRACATU;;3.77;3.47
900060;35900060;EUNICE MARQUES MOURA BASTOS PROFA;LESTE 2;SAO PAULO;5.88;3.01;2.02
900072;35900072;IRENE DIAS RIBEIRO PROFESSORA;RIBEIRAO PRETO;RIBEIRAO PRETO;;3.59;2.81
900102;35900102;LEILA SABINO PROFESSORA;SUL 2;SAO PAULO;5.29;3.86;2.53
900114;35900114;IZABEL FERREIRA DOS SANTOS PROFESSORA DONA BELINHA;GUARULHOS SUL;GUARULHOS;6.61;4.15;
900126;35900126;RINALDO POLI PREFEITO;GUARULHOS NORTE;GUARULHOS;;3.57;
900138;35900138;ORLANDO MINELLA;GUARULHOS SUL;GUARULHOS;;3.56;1.75
900148;35900148;MARIA LEDA FERNANDES BRIGO PROFESSORA;GUARULHOS SUL;GUARULHOS;5.73;4.60;3.69
900151;35900151;MARIA APARECIDA RODRIGUES PROFESSORA;GUARULHOS SUL;GUARULHOS;;3.53;2.45
900163;35900163;ALAYDE MARIA VICENTE PROFESSORA;GUARULHOS SUL;GUARULHOS;;2.58;2.08
900175;35900175;BENERALDO DE TOLEDO PIZA PROFESSOR;SANTO ANDRE;SANTO ANDRE;;2.90;2.45
900187;35900187;MATHILDE TEIXEIRA DE MORAES PROFESSORA;BRAGANCA PAULISTA;BRAGANCA PAULISTA;;3.46;2.53
900217;35900217;WALTER BARRETTO MELCHERT PROF;BAURU;BAURU;5.83;2.76;1.96
900229;35900229;DURVAL GUEDES DE AZEVEDO PROF;BAURU;BAURU;;2.60;2.12
900230;35900230;NOEMIA KUESTER PISANI GERULIS PROFESSORA;JAU;PEDERNEIRAS;;3.64;
900266;35900266;SOPHIA GABRIEL DE OLIVEIRA PROFA;BOTUCATU;BOTUCATU;;2.95;2.60
900285;35900285;JAIR BARTH PROF;ITAPETININGA;ITAPETININGA;;3.07;2.40
900291;35900291;SYLVIA DE PAULA LEITE BAUER;ITU;ITU;;4.81;3.70
900321;35900321;JOSE BENEDITO GONCALVES PROF;ITU;SALTO;6.33;;
900345;35900345;ROQUE CONCEICAO MARTINS PROFESSOR;SOROCABA;SOROCABA;;2.98;2.54
900357;35900357;MARIO GUILHERME NOTARI;SOROCABA;SOROCABA;;3.01;2.45
900369;35900369;GUIOMAR CAMOLESI SOUZA PROFESSORA;SOROCABA;SOROCABA;;3.77;2.72
900370;35900370;JULIA RIOS ATHAYDE PROFESSORA;SOROCABA;SOROCABA;;4.22;
900382;35900382;GUALBERTO MOREIRA DOUTOR;SOROCABA;SOROCABA;;3.38;3.12
900400;35900400;ANTONIA LUCCHESI PROFESSORA;SOROCABA;SOROCABA;7.30;3.95;
900424;35900424;DIMAS MOZART E SILVA PROFESSOR;AVARE;TAQUARITUBA;;3.76;2.76
900436;35900436;PEDRO AUGUSTO RANGEL FILHO PROFESSOR;VOTORANTIM;VOTORANTIM;;4.15;2.92
900459;35900459;GEMMA VASCONCELOS CAMARGO CAPELLO PROFA;AMERICANA;SANTA BARBARA D'OESTE;;3.72;
900461;35900461;ISAURA TEIXEIRA VASCONCELLOS PROFESSORA;SAO JOAO DA BOA VISTA;SAO JOAO DA BOA VISTA;;2.63;2.45
900473;35900473;LAUDELINA DE OLIVEIRA POURRAT PROFESSORA;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;;2.79;2.35
900485;35900485;RUBENS OSCAR GUELLI PROFESSOR;SUMARE;SUMARE;6.85;;
900497;35900497;WANDA FELIX DE ANDRADE PROFESSORA;SUMARE;SUMARE;5.69;;
900515;35900515;ONDINA PINTO GONZALEZ PROFESSORA;SUMARE;SUMARE;4.64;3.69;
900527;35900527;PAULINA ROSA PROFESSORA;SUMARE;HORTOLANDIA;6.92;4.70;3.19
900576;35900576;ACHILES RODRIGUES PROFESSOR;SAO JOAO DA BOA VISTA;VARGEM GRANDE DO SUL;;2.86;1.82
900588;35900588;HAMILTON JOSE BIANCHI MONSENHOR;JUNDIAI;VARZEA PAULISTA;;3.56;2.51
900631;35900631;FERNANDO CAMPOS ROSAS PROFESSOR;RIBEIRAO PRETO;CRAVINHOS;;2.70;1.84
900655;35900655;JOSE PINHEIRO DE LACERDA CAPITAO;FRANCA;FRANCA;;3.34;3.20
900667;35900667;SUDARIO FERREIRA;FRANCA;FRANCA;;3.14;2.16
900679;35900679;SUELY MACHADO DA SILVA PROFA;FRANCA;FRANCA;;2.70;2.57
900709;35900709;NEUSA OKANO MIZUNO PROFESSORA;SAO JOAQUIM DA BARRA;MORRO AGUDO;;3.08;2.73
900734;35900734;BENEDITO MACIEL ARANTES PROFESSOR;RIBEIRAO PRETO;RIBEIRAO PRETO;6.38;;
900746;35900746;ORLANDO JURCA DEPUTADO;RIBEIRAO PRETO;RIBEIRAO PRETO;7.92;;
900758;35900758;JOAO PALMA GUIAO DOUTOR;RIBEIRAO PRETO;RIBEIRAO PRETO;;3.81;2.84
900761;35900761;HELIO LOURENCO DE OLIVEIRA PROFESSOR;RIBEIRAO PRETO;RIBEIRAO PRETO;;3.29;
900771;35900771;MIGUEL JORGE;RIBEIRAO PRETO;RIBEIRAO PRETO;5.90;4.41;4.07
900795;35900795;JOAO JORGE MARMORATO PROFESSOR;SAO CARLOS;SAO CARLOS;7.70;4.81;3.06
900862;35900862;DAVID JOSE LUZ PROF;ASSIS;TARUMA;;3.67;2.66
900874;35900874;NOEMIA GARCIA CICILIATO PROFA;ASSIS;FLORÍNEA;5.86;;
900916;35900916;ARY CORREA DOUTOR;OURINHOS;OURINHOS;;3.65;2.88
900941;35900941;MERCIA MARIA PRETTI SOARES PROFESSORA;SANTO ANASTACIO;PRESIDENTE EPITACIO;6.38;;
900965;35900965;FATIMA APARECIDA COSTA FALCON PROFESSORA;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;;2.18;1.95
900977;35900977;ARY FONSECA;TUPA;RINOPOLIS;5.47;;
900990;35900990;ANTONIO GUEDES DE AZEVEDO PROF;BAURU;BAURU;;4.72;3.24
901003;35901003;ANTONIO FERREIRA DE MENEZES VEREADOR;BAURU;BAURU;;1.79;1.32
901015;35901015;EDISON BASTOS GASPARINI PREF;BAURU;BAURU;;2.71;2.26
901027;35901027;BENEDITO DOS SANTOS GUERREIRO;JAU;DOIS CORREGOS;;3.54;2.06
901052;35901052;VICENTE CASALE PADOVANI PROFESSOR;PIRASSUNUNGA;ARARAS;5.32;;
901064;35901064;JUDITH FERRAO LEGASPE PROFESSORA;PIRASSUNUNGA;ARARAS;;3.54;2.63
901076;35901076;CARLOTA FERNANDES DE SOUZA RODINI;PIRASSUNUNGA;ARARAS;;4.00;2.49
901088;35901088;ALBERTO MEDALJON PROFESSOR;CAMPINAS LESTE;CAMPINAS;5.95;2.49;2.37
901097;35901097;MARIA JULIETA DE GODOI CARTEZANI PROFESSORA;CAMPINAS OESTE;CAMPINAS;;3.53;3.23
901106;35901106;JOAQUIM PEDROSO SARGENTO;CAMPINAS OESTE;CAMPINAS;8.08;;
901118;35901118;ELISEU NARCISO REVERENDO;CAMPINAS OESTE;CAMPINAS;;2.29;1.29
901124;35901124;CELESTE PALANDI DE MELLO PROFESSORA;CAMPINAS OESTE;CAMPINAS;5.88;;1.82
901131;35901131;NEWTON OPPERMANN DOUTOR;CAMPINAS OESTE;CAMPINAS;5.13;2.54;2.55
901155;35901155;DAGOBERTO ROMAG FREI;JUNDIAI;CAMPO LIMPO PAULISTA;;2.62;2.28
901167;35901167;JOSE BONIFACIO CARRETTA PADRE;CAPIVARI;CAPIVARI;;3.57;2.72
901192;35901192;OSCARLINA DE ARAUJO OLIVEIRA PROFESSORA;JUNDIAI;ITATIBA;;;3.50
901222;35901222;ZULMIRO ALVES DE SIQUEIRA;JUNDIAI;JARINU;;3.56;2.98
901246;35901246;ARLINDO FAVARO PROFESSOR;PIRASSUNUNGA;LEME;;3.78;2.70
901258;35901258;LUIGINO BURIGOTTO;LIMEIRA;LIMEIRA;6.71;4.58;
901261;35901261;PAULO CHAVES PROFESSOR;LIMEIRA;LIMEIRA;;3.20;2.38
901271;35901271;ODILON LEITE FERRAZ;JUNDIAI;LOUVEIRA;;3.74;2.57
901283;35901283;PEDRO YOSHICHIKA IRIE;JUNDIAI;LOUVEIRA;;4.94;
901295;35901295;ZENAIDE PERETO RIBEIRO ROCHA PROFESSORA;SAO JOAO DA BOA VISTA;MOCOCA;;2.96;1.85
901313;35901313;ANTONIO JOSE PERES MARQUES PROF;MOGI MIRIM;MOGI MIRIM;;2.63;1.46
901325;35901325;PAULO LUIZ VALERIO;PIRACICABA;PIRACICABA;;3.43;3.10
901337;35901337;FELIPE CARDOSO;PIRACICABA;PIRACICABA;;2.54;2.78
901362;35901362;CORALINA RIBEIRO DOS SANTOS CALDEIRA DONA;SANTOS;GUARUJA;4.03;;
901374;35901374;LUIZ BENEDITINO FERREIRA;SANTOS;GUARUJA;2.86;;
901386;35901386;ANTONIO NUNES LOPES DA SILVA PROFESSOR;SAO VICENTE;PRAIA GRANDE;;2.08;2.55
901398;35901398;ARCHIMEDES BAVA PROFESSOR;SANTOS;BERTIOGA;;2.23;1.99
901404;35901404;ALBINO LUIZ CALDAS PROFESSOR;SAO VICENTE;SAO VICENTE;;3.78;2.60
901465;35901465;ANTONIO MARTINS DA SILVA PROF;JACAREI;JACAREI;;3.59;
901489;35901489;JULIO FORTES;GUARATINGUETA;LAVRINHAS;;;2.02
901507;35901507;AROLDO AZEVEDO PROF;GUARATINGUETA;LORENA;;3.21;2.58
901519;35901519;DIRCE APARECIDA PEREIRA MARCONDES;PINDAMONHANGABA;PINDAMONHANGABA;;4.51;
901520;35901520;RUBENS ZAMITH PROFESSOR;PINDAMONHANGABA;PINDAMONHANGABA;;3.63;2.45
901532;35901532;DINORA PEREIRA RAMOS BRITO PROFESSORA;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;5.50;2.78;2.22
901556;35901556;NELSON FERREIRA DA SILVA PROFESSOR;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;6.32;;
901568;35901568;JULIA BERNARDES RODRIGUES PROFESSORA;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;5.41;;
901573;35901573;UBIRAJARA BERNA DE CHIARA UBIRAJARA BRASIL;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;6.82;3.58;
901581;35901581;GERALDINA COELHO MONTEIRO PROFESSORA;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;3.34;2.87
901600;35901600;GENTIL DE CAMARGO PROFESSOR;TAUBATE;TAUBATE;;;2.15
901659;35901659;MASSAKO OSAWA HIRABAYASHI PROFESSORA;REGISTRO;REGISTRO;;4.38;3.61
901660;35901660;IRENE MACHADO DE LIMA DONA;REGISTRO;REGISTRO;;4.19;3.14
901672;35901672;RAUL ANTONIO FRAGOSO PROFESSOR;NORTE 1;SAO PAULO;5.77;;
901684;35901684;EDUARDO GOMES BRIGADEIRO COHAB;NORTE 1;SAO PAULO;4.55;3.25;2.01
901702;35901702;MIGUEL SANSIGOLO PROF;LESTE 4;SAO PAULO;;3.56;2.22
901714;35901714;CAMILO MARIA CAVALHEIRO DOM;LESTE 4;SAO PAULO;;4.56;3.08
901726;35901726;JOSE BUSTAMANTE DEPUTADO;LESTE 2;SAO PAULO;;2.71;1.87
901738;35901738;LUIZ CINTRA DO PRADO PROFESSOR;CENTRO OESTE;SAO PAULO;5.13;;
901748;35901748;AMADOR E CATHARINA SAPORITO AUGUSTO;SUL 1;SAO PAULO;4.96;3.33;2.41
901751;35901751;JOSE PORPHYRIO DA PAZ;SUL 2;SAO PAULO;;2.88;1.88
901763;35901763;JOSE HERMENEGILDO LEONI PROFESSOR;SUL 1;SAO PAULO;5.70;;
901775;35901775;JOSE CAVALCANTI SILVA DESEMBARGADOR;SUL 1;SAO PAULO;4.01;;
901787;35901787;ITURBIDES BOLIVAR DE ALMEIDA SERRA PROF;SUL 3;SAO PAULO;6.33;;
901799;35901799;HERMINIO SACCHETTA;SUL 3;SAO PAULO;4.96;2.52;2.43
901805;35901805;MARIO TOLEDO DE MORAES;CAIEIRAS;CAIEIRAS;;3.93;2.86
901829;35901829;JOSE MARUN ATALLA;GUARULHOS NORTE;GUARULHOS;6.21;;
901830;35901830;ANTONIO PRATICI PREFEITO;GUARULHOS SUL;GUARULHOS;;3.77;2.63
