CÓDIGO CIE;Código INEP;ESCOLA;DIRETORIA;MUNICÍPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MÉDIO
10406;35010406;VALENCIO SOARES RODRIGUES                                   ;SAO ROQUE;VARGEM GRANDE PAULISTA;;2,66;1,84
10424;35010424;CELINA DE BARROS BAIRAO PROFESSORA                          ;ITAPEVI;ITAPEVI;;2,07;1,56
10431;35010431;AMERICO VALENTIN CHRISTIANINI                               ;ITAPEVI;ITAPEVI;;2,10;1,05
10443;35010443;NACIF AMIN CHALUPE                                          ;ITAPEVI;ITAPEVI;;2,89;1,93
10467;35010467;RAUL BRIQUET DOUTOR                                         ;ITAPEVI;ITAPEVI;;1,93;1,42
10479;35010479;CLARO CAMARGO RIBEIRO                                       ;ITAPEVI;ITAPEVI;;2,45;1,87
10480;35010480;DIMARAES ANTONIO SANDEI PROFESSOR                           ;ITAPEVI;ITAPEVI;;2,24;0,85
10492;35010492;VINICIUS DE MORAES                                          ;CARAPICUIBA;COTIA;;3,30;2,09
10509;35010509;FERNANDO NOBRE                                              ;CARAPICUIBA;COTIA;;2,83;
10510;35010510;CARLOS FERREIRA DE MORAES PROFESSOR                         ;CARAPICUIBA;COTIA;;2,99;1,59
10522;35010522;ANTONIETA DI LASCIO OZEKI PROFESSORA                        ;CARAPICUIBA;COTIA;;2,43;1,90
10534;35010534;ORLANDO ELLERO PROFESSOR                                    ;SAO ROQUE;VARGEM GRANDE PAULISTA;;3,13;3,20
10546;35010546;JARDIM SANTA ANGELA                                         ;CARAPICUIBA;COTIA;;1,81;1,62
10558;35010558;IDOMINEU ANTUNES CALDEIRA                                   ;CARAPICUIBA;COTIA;;2,91;
10561;35010561;ZACARIAS ANTONIO DA SILVA                                   ;CARAPICUIBA;COTIA;;2,90;2,61
10571;35010571;JOSE BARRETO PROFESSOR                                      ;CARAPICUIBA;COTIA;3,08;2,61;
10583;35010583;ODAIR PACHECO PEDROSO PROFESSOR                             ;CARAPICUIBA;COTIA;;2,54;1,95
10595;35010595;BATISTA CEPELOS                                             ;CARAPICUIBA;COTIA;;1,88;1,61
10601;35010601;ROQUE CELESTINO PIRES                                       ;CARAPICUIBA;COTIA;;1,27;1,66
10613;35010613;CANDIDO RONDON MARECHAL                                     ;ITAPEVI;ITAPEVI;;2,41;1,50
10625;35010625;ANA MACIEIRA DE OLIVEIRA                                    ;CARAPICUIBA;COTIA;3,99;2,61;
10637;35010637;PAULO SOARES DA SILVA                                       ;SAO ROQUE;VARGEM GRANDE PAULISTA;;2,96;2,21
10649;35010649;HENRIQUE SAMMARTINO ALFERES                                 ;ITAPEVI;JANDIRA;;2,64;1,83
10650;35010650;JOSE NEYDE CESAR LESSA DOUTOR                               ;ITAPEVI;ITAPEVI;;2,34;2,08
10662;35010662;OSWALDO SAMMARTINO                                          ;ITAPEVI;JANDIRA;;1,64;1,48
10674;35010674;ELOI LACERDA PROF                                           ;OSASCO;OSASCO;;1,80;1,19
10686;35010686;ERNESTO THENN DE BARROS PROFESSOR                           ;OSASCO;OSASCO;;2,24;1,53
10716;35010716;JOSE MARIA RODRIGUES LEITE PROFESSOR                        ;OSASCO;OSASCO;;3,04;1,85
10728;35010728;ALCYR OLIVEIRA PORCIUNCULA PROFESSOR                        ;OSASCO;OSASCO;;2,23;1,76
10741;35010741;ROSA BONFIGLIOLI                                            ;OSASCO;OSASCO;3,61;2,51;1,15
10789;35010789;JOSE LIBERATTI PROFESSOR                                    ;OSASCO;OSASCO;;3,08;2,76
10790;35010790;FRANCISCA LISBOA PERALTA PROFESSORA                         ;OSASCO;OSASCO;;1,85;1,56
10807;35010807;ANTONIO PAIVA DE SAMPAIO CORONEL                            ;OSASCO;OSASCO;;2,65;1,78
10820;35010820;FANNY MONZONI SANTOS PROFESSORA                             ;OSASCO;OSASCO;;2,51;1,78
10844;35010844;MARIA AUGUSTA SIQUEIRA PROFESSORA                           ;OSASCO;OSASCO;4,58;1,72;1,40
10868;35010868;LUIZ LUSTOSA DA SILVA PROFESSOR DOUTOR                      ;OSASCO;OSASCO;;2,17;1,26
10873;35010873;JOAO BAPTISTA DE BRITO PROFESSOR                            ;OSASCO;OSASCO;;2,70;1,65
10881;35010881;AURELIANO LEITE DOUTOR                                      ;OSASCO;OSASCO;;2,03;1,79
10893;35010893;AMERICO MARCO ANTONIO DOUTOR                                ;OSASCO;OSASCO;;2,17;1,65
10900;35010900;BENEDICTO CALDEIRA PROFESSOR                                ;OSASCO;OSASCO;;2,43;1,96
10923;35010923;HELOISA DE ASSUMPCAO PROFESSORA                             ;OSASCO;OSASCO;;2,92;2,03
10947;35010947;ALICE VELHO TEIXEIRA PROFESSORA                             ;OSASCO;OSASCO;;2,55;2,91
10959;35010959;JULIA LOPES DE ALMEIDA                                      ;OSASCO;OSASCO;;2,82;2,48
10984;35010984;GLORIA AZEDIA BONETTI PROFESSORA                            ;OSASCO;OSASCO;;2,71;2,69
10996;35010996;GRACILIANO RAMOS                                            ;OSASCO;OSASCO;;1,93;1,48
11010;35011010;OGUIOMAR RUGGERI PROFESSOR                                  ;OSASCO;OSASCO;;2,79;1,82
11022;35011022;GUILHERME DE OLIVEIRA GOMES DEPUTADO                        ;OSASCO;OSASCO;;1,70;1,38
