CÓDIGO CIE;Código INEP;ESCOLA;DIRETORIA;MUNICÍPIO;Anos Iniciais;Anos Finais;Ensino Médio
37734;35037734;ARLETE TEREZINHA PIZAO PROFA                                ;NORTE 2;SAO PAULO;4,17;;
37746;35037746;ORLANDO HORACIO VITA PROFESSOR                              ;CENTRO;SAO PAULO;4,38;;
37758;35037758;DAILY RESENDE FRANCA PROFESSOR                              ;CENTRO;SAO PAULO;4,98;;
37761;35037761;YOLANDO MALLOZZI                                            ;NORTE 2;SAO PAULO;2,52;;
37771;35037771;LUZIA GODOY PROFA                                           ;NORTE 2;SAO PAULO;5,50;;
37783;35037783;VERIDIANA CAMACHO CARVALHO GOMES PROFA                      ;NORTE 2;SAO PAULO;;2,21;1,89
37795;35037795;JUSTINO CARDOSO DR                                          ;NORTE 2;SAO PAULO;;3,04;
37801;35037801;JOAQUIM GOUVEIA FRANCO JUNIOR DEPUTADO                      ;LESTE 5;SAO PAULO;3,81;;
37813;35037813;DIDIO DA SILVEIRA BALDY PROF                                ;LESTE 4;SAO PAULO;4,59;;
37837;35037837;LOURDES MARIA DE CAMARGO PROFESSORA                         ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;3,62;2,37;1,44
37849;35037849;JENI DAVI BACHA PROFESSORA                                  ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;4,04;3,61;2,81
37874;35037874;IGNACIO GIOIA MONSENHOR                                     ;TAUBATE;SAO LUIZ DO PARAITINGA;;;2,71
37898;35037898;FELIX GUISARD FILHO DOUTOR                                  ;TAUBATE;TAUBATE;;;1,55
37916;35037916;TEIXEIRA POMBO COMENDADOR                                   ;PINDAMONHANGABA;TREMEMBE;;;2,11
37928;35037928;SINESIA MARTINI PROFA                                       ;AMERICANA;AMERICANA;4,20;;
37936;35037936;IRENE DE ASSIS SAES PROFA                                   ;AMERICANA;SANTA BARBARA D'OESTE;;3,05;2,12
37941;35037941;CECILIA DE NEGRI PROFESSORA                                 ;SUMARE;SUMARE;4,43;;
37965;35037965;MARIO NATIVIDADE DOUTOR                                     ;CAMPINAS LESTE;CAMPINAS;;2,13;1,69
37977;35037977;HELIO NEHRING PROFESSOR                                     ;PIRACICABA;PIRACICABA;;2,92;2,01
37989;35037989;LUCIANO GUIDOTTI COMENDADOR                                 ;PIRACICABA;PIRACICABA;5,26;2,90;1,71
38003;35038003;IRACEMA DE CASTRO AMARANTE PROFA                            ;BAURU;BAURU;4,26;2,30;
38027;35038027;ALVA FABRI MIRANDA PROFESSORA                               ;JAU;PEDERNEIRAS;;3,34;2,78
38039;35038039;JOAQUIM DO MARCO PROFESSOR                                  ;CENTRO SUL;SAO PAULO;4,27;;
38064;35038064;RUBENS PIETRAROIA                                           ;BAURU;LENCOIS PAULISTA;;3,00;1,57
38076;35038076;TEREZINHA MARIANO MAGNANI PROFESSORA                        ;OURINHOS;ESPIRITO SANTO DO TURVO;;2,90;2,48
38097;35038097;ITALO BETARELLO                                             ;NORTE 1;SAO PAULO;;2,44;1,36
38106;35038106;EDUARDO CARLOS PEREIRA                                      ;LESTE 5;SAO PAULO;4,64;;
38118;35038118;ALCEU GUERNER GONZALEZ PROF                                 ;LESTE 2;SAO PAULO;2,89;;
38124;35038124;MARIA AUGUSTA SARAIVA DOUTORA                               ;CENTRO;SAO PAULO;4,48;;
38131;35038131;AUGUSTO DO AMARAL DEPUTADO                                  ;CENTRO OESTE;SAO PAULO;;2,63;2,28
38143;35038143;CAETANO DE CAMPOS                                           ;CENTRO SUL;SAO PAULO;3,79;2,94;2,11
38155;35038155;RUBENS DO AMARAL DEPUTADO                                   ;CENTRO SUL;SAO PAULO;5,28;;
38167;35038167;JOSE MARIA WHITAKER DOUTOR                                  ;CENTRO SUL;SAO PAULO;;2,81;1,75
38179;35038179;CARLOS PASQUALE PROFESSOR                                   ;CENTRO SUL;SAO PAULO;;2,20;
38180;35038180;ARTHUR WOLFF NETTO PROFESSOR                                ;SUL 1;SAO PAULO;2,83;;
38209;35038209;MIGUEL ROQUE PROFESSOR                                      ;SUL 1;SAO PAULO;3,47;;
38210;35038210;SALVADOR MOYA                                               ;SUL 1;SAO PAULO;;1,81;1,23
38222;35038222;JOSE JOAQUIM CARDOSO DE MELLO NETO PROFESSOR                ;SUL 2;SAO PAULO;3,28;;
38234;35038234;VICENTE RAO PROFESSOR                                       ;SUL 1;SAO PAULO;;2,11;1,30
38246;35038246;EURICO GASPAR DUTRA MARECHAL                                ;SUL 2;SAO PAULO;5,47;;
38258;35038258;FRANCISCO DE PAULA CONCEICAO JUNIOR PROFESSOR               ;SUL 1;SAO PAULO;3,13;2,32;1,20
38261;35038261;ADRIAO BERNARDES PROF                                       ;SUL 3;SAO PAULO;3,16;1,97;1,78
38271;35038271;CALLIA MAESTRO                                              ;SUL 3;SAO PAULO;3,18;;0,64
38283;35038283;JOAQUIM ALVARES CRUZ PROF                                   ;SUL 3;SAO PAULO;1,42;1,64;1,06
38295;35038295;JOSE LINS DO REGO                                           ;SUL 2;SAO PAULO;;2,83;1,73
38301;35038301;MARIA LUIZA DE ANDRADE MARTINS ROQUE PROFA                  ;SUL 3;SAO PAULO;;2,00;1,46
38313;35038313;VERA ATHAYDE PEREIRA PROFA                                  ;SUL 3;SAO PAULO;;1,86;0,97
38325;35038325;NELSON MANZANARES DR                                        ;CAIEIRAS;CAIEIRAS;4,44;;
38337;35038337;ANA MARIA GARRIDO ORLANDIN PROFA                            ;CAIEIRAS;CAJAMAR;;1,92;1,51
38349;35038349;ROGERIO LEVORIN PROF                                        ;CAIEIRAS;FRANCISCO MORATO;;2,41;1,93
38362;35038362;BARTHOLOMEU DE CARLOS                                       ;GUARULHOS SUL;GUARULHOS;;1,63;1,83
38374;35038374;ALBERTO BACAN PROFESSOR                                     ;GUARULHOS SUL;GUARULHOS;;1,89;1,72
38386;35038386;HYEROCLIO ELOY PESSOA BARROS                                ;JACAREI;SANTA ISABEL;;3,43;2,12
38398;35038398;IVAN BRASIL                                                 ;JACAREI;GUARAREMA;;4,16;3,47
38428;35038428;ERVIN HORVATH DOUTOR                                        ;ITAQUAQUECETUBA;ITAQUAQUECETUBA;3,11;2,56;1,69
38441;35038441;FRANCISCO DE PAULA QUINTANILHA RIBEIRO MINISTRO             ;DIADEMA;DIADEMA;3,58;;
