NOMEDEP;DE;MUN;DISTR;COD_ESC;NOMESC;SITUACAO;TIPOESC;ENDESC;NUMESC;COMPLEND;CEP;BAIESC;ZONA;DS_LONGITUDE;DS_LATITUDE;CODVINC
ESTADUAL - SE;JACAREI;ARUJA;ARUJA;910375;ANA MARIA DE CARVALHO PEREIRA;Ativa;EE;RUA OSCAR SCHIAVON;378;;74320065;JARDIM PEROBAL;URBANA;-46,36330032;-23,41720009;
ESTADUAL - SE;JACAREI;SANTA ISABEL;SANTA ISABEL;910387;FERNANDO ALUISO CORREA PROF;Ativa;EE;RUA JOAO ANTONIO MINEIRO;67;RUA;7500000;JARDIM NOVO EDEN;URBANA;-46,22967148;-23,33893967;
ESTADUAL - SE;MOGI DAS CRUZES;MOGI DAS CRUZES;MOGI DAS CRUZES;910405;PAULO DE OLIVEIRA MELLO PROFESSOR;Ativa;EE;KASUMO SUMIZONO;1226;RUA;8743140;JARDIM SANTA TERESA;URBANA;-46,22119904;-23,55540085;
ESTADUAL - SE;REGISTRO;REGISTRO;REGISTRO;910429;HIROSHI SAKANO;Ativa;EE;ESTRADA ESQUERDA DO RIO RIBEIRA DE IGUAPE;SN;RUA;11900000;JURUMIRIM;RURAL;-47,73696899;-24,49957085;
ESTADUAL - SE;OSASCO;OSASCO;OSASCO;910442;GABRIELA MARIA ELISABETH WIENKEM IRMA;Ativa;EE;JOSE BARBOSA DE SIQUEIRA;SN;AVENIDA;6172000;PADROEIRA;URBANA;-46,80947876;-23,54754066;
ESTADUAL - SE;ITAPEVI;ITAPEVI;ITAPEVI;910454;MARIA SOARES SANTOS PROFESSORA;Ativa;EE;RUA NELSON EZEQUIEL DE FARIAS;629;RUA;6655360;JARDIM BRIQUET;URBANA;-46,90980148;-23,55509949;
ESTADUAL - SE;ITAPEVI;BARUERI;BARUERI;910485;AMADOR AGUIAR;Ativa;EE;DUARTE DA COSTA;143;;6462120;PARQUE IMPERIAL;URBANA;-46,80519104;-23,48706055;
ESTADUAL - SE;JUNDIAI;ITUPEVA;ITUPEVA;910521;ARTHUR RICCI MONSENHOR DOUTOR;Ativa;EE;RUA PEDRO MARCHI;100;AVENIDA;13295000;JARDIM BURITI;URBANA;-47,05516815;-23,15237045;
ESTADUAL - SE;JUNDIAI;JARINU;JARINU;910533;ORLANDO MAURICIO ZAMBOTTO;Ativa;EE;RUA JOSE EDUARDO;65;PRACA;13240000;MARACANA;URBANA;-46,71284103;-23,13624001;
ESTADUAL - SE;ITAPETININGA;ITAPETININGA;ITAPETININGA;910557;EVONIO MARQUES PROF;Ativa;EE;BAIRRO DA VARGINHA;SN;;18200000;VARGINHA;RURAL;-48,20095062;-23,72830963;
